Count,Date,Stage,ResultNote,Home,Score,Away,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes
20 === ,10 July 1960 ,Final,Full time »,USSR,2-1,Yugoslavia,USSR win after extra time , ,(,aet,) ,Referee,not available, ,Stadium,:,Parc des Princes, ,Paris (FRA) ,,,,
9 === ,9 July 1960 ,Third place,Full time »,Czechoslovakia,2-0,France,Referee: Cesare Jonni (ITA)   – Stadium: Stade Vélodrome, Marseille (FRA) ,,,,,,,,,,,,,,,
15 === ,6 July 1960 ,Semi-finals,Full time »,France,4-5,Yugoslavia,Referee,not available, ,Stadium,:,Parc des Princes, ,Paris (FRA) ,,,,,,,,,
14 === ,6 July 1960 ,Semi-finals,Full time »,Czechoslovakia,0-3,USSR,Referee,Cesare Jonni (ITA)  ,Stadium,:,Stade Vélodrome, ,Marseille (FRA) ,,,,,,,,,,
19 === ,29 May 1960 ,Quarter-finals,Full time »,Czechoslovakia,3-0,Romania,Aggregate: 5-0, ,(,agg,: 5-0) ,Referee,Leif Gulliksen (NOR)  ,Stadium,:,Tehelné Pole, ,Bratislava (SVK) ,,,,,
13 === ,29 May 1960 ,Quarter-finals,Match forfeited »,USSR, - ,Spain,Match forfeited ,f ,Referee,not available, ,,,,,,,,,,,,
14 === ,22 May 1960 ,Quarter-finals,Full time »,Romania,0-2,Czechoslovakia,Referee,Andor Dorogi (HUN)  ,Stadium,:,23 August, ,Bucharest (ROU) ,,,,,,,,,,
19 === ,22 May 1960 ,Quarter-finals,Full time »,Yugoslavia,5-1,Portugal,Aggregate: 6-3, ,(,agg,: 6-3) ,Referee,Alfred Stoll (AUT)  ,Stadium,:,Stadion FK Partizan, ,Belgrade (SRB) ,,,,,
17 === ,22 May 1960 ,Quarter-finals,Match forfeited »,Spain, - ,USSR,Match forfeited ,f ,Referee,not available, ,Stadium,:,Estadio Santiago Bernabéu, ,Madrid (ESP) ,,,,,,,
9 === ,8 May 1960 ,Quarter-finals,Full time »,Portugal,2-1,Yugoslavia,Referee: Joseph Barbéran (FRA)   – Stadium: Nacional Do Jamor, Oeiras (POR) ,,,,,,,,,,,,,,,
11 === ,27 March 1960 ,Quarter-finals,Full time »,Austria,2-4,France,Aggregate: 4-9, ,Referee: Leo Helge (DEN)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,
9 === ,13 December 1959 ,Quarter-finals,Full time »,France,5-2,Austria,Referee: Manuel Martin Asensi (ESP)   – Stadium: Olympique, Paris (FRA) ,,,,,,,,,,,,,,,
13 === ,25 October 1959 ,Eighth-finals,Full time »,Bulgaria,1-1,Yugoslavia,Aggregate: 1-3, ,Referee: ,not available,  – Stadium: Natsionalen Stadion Vasil Levski, Sofia (BUL) ,,,,,,,,,,,
11 === ,18 October 1959 ,Eighth-finals,Full time »,Czechoslovakia,5-1,Denmark,Aggregate: 7-3, ,Referee: Helmut Köhler (GER)   – Stadium: Mestský, Brno (CZE) ,,,,,,,,,,,,,
13 === ,14 October 1959 ,Eighth-finals,Full time »,Spain,3-0,Poland,Aggregate: 7-2, ,Referee: ,not available,  – Stadium: Estadio Santiago Bernabéu, Madrid (ESP) ,,,,,,,,,,,
11 === ,27 September 1959 ,Eighth-finals,Full time »,Hungary,0-1,USSR,Aggregate: 1-4, ,Referee: Jozef Kowal (POL)   – Stadium: Ferenc Puskás, Budapest (HUN) ,,,,,,,,,,,,,
14 === ,23 September 1959 ,Round of 16,Full time »,Denmark,2-2,Czechoslovakia,Referee,Johan Bronkhorst (NED)  ,Stadium,:,Telia Parken, ,Copenhagen (DEN) ,,,,,,,,,,
20 === ,23 September 1959 ,Round of 16,Full time »,Austria,5-2,Norway,Aggregate: 6-2, ,(,agg,: 6-2) ,Referee,not available, ,Stadium,:,Ernst-Happel-Stadion, ,Vienna (AUT) ,,,,
